epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
28,2020-07-08,89,PA,Acará,1500206,city,492,885.03535,1,10,0,0.0203,55591,True,False
28,2020-07-07,88,PA,Acará,1500206,city,491,883.2365,1,10,0,0.0204,55591,False,False
28,2020-07-06,87,PA,Acará,1500206,city,490,881.43764,23,10,1,0.0204,55591,False,False
28,2020-07-05,86,PA,Acará,1500206,city,467,840.06404,0,9,0,0.0193,55591,False,False
27,2020-07-04,85,PA,Acará,1500206,city,467,840.06404,0,9,0,0.0193,55591,False,False
27,2020-07-03,84,PA,Acará,1500206,city,467,840.06404,2,9,0,0.0193,55591,False,False
27,2020-07-02,83,PA,Acará,1500206,city,465,836.46633,8,9,0,0.0194,55591,False,False
27,2020-07-01,82,PA,Acará,1500206,city,457,822.07552,4,9,0,0.0197,55591,False,False
27,2020-06-30,81,PA,Acará,1500206,city,453,814.88011,2,9,0,0.0199,55591,False,False
27,2020-06-29,80,PA,Acará,1500206,city,451,811.2824,0,9,0,0.02,55591,False,False
27,2020-06-28,79,PA,Acará,1500206,city,451,811.2824,0,9,0,0.02,55591,False,False
26,2020-06-27,78,PA,Acará,1500206,city,451,811.2824,1,9,0,0.02,55591,False,False
26,2020-06-26,77,PA,Acará,1500206,city,450,809.48355,1,9,0,0.02,55591,False,False
26,2020-06-25,76,PA,Acará,1500206,city,449,807.6847,1,9,0,0.02,55591,False,False
26,2020-06-24,75,PA,Acará,1500206,city,448,805.88584,2,9,0,0.0201,55591,False,False
26,2020-06-23,74,PA,Acará,1500206,city,446,802.28814,61,9,0,0.0202,55591,False,False
26,2020-06-22,73,PA,Acará,1500206,city,385,692.55815,122,9,0,0.0234,55591,False,False
26,2020-06-21,72,PA,Acará,1500206,city,263,473.09816,14,9,0,0.0342,55591,False,False
25,2020-06-20,71,PA,Acará,1500206,city,249,447.91423,-1,9,0,0.0361,55591,False,False
25,2020-06-19,70,PA,Acará,1500206,city,250,449.71308,0,9,0,0.036,55591,False,False
25,2020-06-18,69,PA,Acará,1500206,city,250,449.71308,1,9,0,0.036,55591,False,False
25,2020-06-17,68,PA,Acará,1500206,city,249,447.91423,16,9,0,0.0361,55591,False,False
25,2020-06-16,67,PA,Acará,1500206,city,233,419.13259,8,9,0,0.0386,55591,False,False
25,2020-06-15,66,PA,Acará,1500206,city,225,404.74177,6,9,1,0.04,55591,False,False
25,2020-06-14,65,PA,Acará,1500206,city,219,393.94866,1,8,0,0.0365,55591,False,False
24,2020-06-13,64,PA,Acará,1500206,city,218,392.14981,7,8,0,0.0367,55591,False,False
24,2020-06-12,63,PA,Acará,1500206,city,211,379.55784,10,8,0,0.0379,55591,False,False
24,2020-06-11,62,PA,Acará,1500206,city,201,361.56932,0,8,0,0.0398,55591,False,False
24,2020-06-10,61,PA,Acará,1500206,city,201,361.56932,1,8,0,0.0398,55591,False,False
24,2020-06-09,60,PA,Acará,1500206,city,200,359.77047,3,8,0,0.04,55591,False,False
24,2020-06-08,59,PA,Acará,1500206,city,197,354.37391,17,8,0,0.0406,55591,False,False
24,2020-06-07,58,PA,Acará,1500206,city,180,323.79342,0,8,0,0.0444,55591,False,False
23,2020-06-06,57,PA,Acará,1500206,city,180,323.79342,0,8,0,0.0444,55591,False,False
23,2020-06-05,56,PA,Acará,1500206,city,180,323.79342,2,8,0,0.0444,55591,False,False
23,2020-06-04,55,PA,Acará,1500206,city,178,320.19572,1,8,1,0.0449,55591,False,False
23,2020-06-03,54,PA,Acará,1500206,city,177,318.39686,144,7,0,0.0395,55591,False,False
23,2020-06-02,53,PA,Acará,1500206,city,33,59.36213,1,7,0,0.2121,55591,False,False
23,2020-06-01,52,PA,Acará,1500206,city,32,57.56327,0,7,0,0.2188,55591,False,False
23,2020-05-31,51,PA,Acará,1500206,city,32,57.56327,0,7,0,0.2188,55591,False,False
22,2020-05-30,50,PA,Acará,1500206,city,32,57.56327,2,7,0,0.2188,55591,False,False
22,2020-05-29,49,PA,Acará,1500206,city,30,53.96557,0,7,0,0.2333,55591,False,False
22,2020-05-28,48,PA,Acará,1500206,city,30,53.96557,0,7,0,0.2333,55591,False,False
22,2020-05-27,47,PA,Acará,1500206,city,30,53.96557,0,7,0,0.2333,55591,False,False
22,2020-05-26,46,PA,Acará,1500206,city,30,53.96557,0,7,0,0.2333,55591,False,False
22,2020-05-25,45,PA,Acará,1500206,city,30,53.96557,1,7,0,0.2333,55591,False,False
22,2020-05-24,44,PA,Acará,1500206,city,29,52.16672,2,7,1,0.2414,55591,False,False
21,2020-05-23,43,PA,Acará,1500206,city,27,48.56901,1,6,0,0.2222,55591,False,False
21,2020-05-22,42,PA,Acará,1500206,city,26,46.77016,3,6,2,0.2308,55591,False,False
21,2020-05-21,41,PA,Acará,1500206,city,23,41.3736,2,4,1,0.1739,55591,False,False
21,2020-05-20,40,PA,Acará,1500206,city,21,37.7759,2,3,0,0.1429,55591,False,False
21,2020-05-19,39,PA,Acará,1500206,city,19,34.17819,0,3,0,0.1579,55591,False,True
21,2020-05-18,38,PA,Acará,1500206,city,19,34.17819,1,3,0,0.1579,55591,False,False
21,2020-05-17,37,PA,Acará,1500206,city,18,32.37934,0,3,0,0.1667,55591,False,False
20,2020-05-16,36,PA,Acará,1500206,city,18,32.37934,0,3,0,0.1667,55591,False,False
20,2020-05-15,35,PA,Acará,1500206,city,18,32.37934,4,3,1,0.1667,55591,False,False
20,2020-05-14,34,PA,Acará,1500206,city,14,25.18393,9,2,0,0.1429,55591,False,False
20,2020-05-13,33,PA,Acará,1500206,city,5,8.99426,0,2,0,0.4,55591,False,False
20,2020-05-12,32,PA,Acará,1500206,city,5,8.99426,0,2,0,0.4,55591,False,False
20,2020-05-11,31,PA,Acará,1500206,city,5,8.99426,1,2,1,0.4,55591,False,False
20,2020-05-10,30,PA,Acará,1500206,city,4,7.19541,0,1,0,0.25,55591,False,False
19,2020-05-09,29,PA,Acará,1500206,city,4,7.19541,2,1,0,0.25,55591,False,False
19,2020-05-08,28,PA,Acará,1500206,city,2,3.5977,0,1,0,0.5,55591,False,False
19,2020-05-07,27,PA,Acará,1500206,city,2,3.5977,0,1,0,0.5,55591,False,False
19,2020-05-06,26,PA,Acará,1500206,city,2,3.5977,0,1,0,0.5,55591,False,False
19,2020-05-05,25,PA,Acará,1500206,city,2,3.5977,0,1,0,0.5,55591,False,False
19,2020-05-04,24,PA,Acará,1500206,city,2,3.5977,0,1,0,0.5,55591,False,False
19,2020-05-03,23,PA,Acará,1500206,city,2,3.5977,0,1,0,0.5,55591,False,False
18,2020-05-02,22,PA,Acará,1500206,city,2,3.5977,0,1,0,0.5,55591,False,False
18,2020-05-01,21,PA,Acará,1500206,city,2,3.5977,0,1,1,0.5,55591,False,False
18,2020-04-30,20,PA,Acará,1500206,city,2,3.5977,0,0,0,0.0,55591,False,False
18,2020-04-29,19,PA,Acará,1500206,city,2,3.5977,0,0,0,0.0,55591,False,False
18,2020-04-28,18,PA,Acará,1500206,city,2,3.5977,0,0,0,0.0,55591,False,False
18,2020-04-27,17,PA,Acará,1500206,city,2,3.5977,0,0,0,0.0,55591,False,False
18,2020-04-26,16,PA,Acará,1500206,city,2,3.5977,0,0,0,0.0,55591,False,False
17,2020-04-25,15,PA,Acará,1500206,city,2,3.5977,0,0,0,0.0,55591,False,False
17,2020-04-24,14,PA,Acará,1500206,city,2,3.5977,0,0,0,0.0,55591,False,False
17,2020-04-23,13,PA,Acará,1500206,city,2,3.5977,1,0,0,0.0,55591,False,False
17,2020-04-22,12,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
17,2020-04-21,11,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
17,2020-04-20,10,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
17,2020-04-19,9,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
16,2020-04-18,8,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
16,2020-04-17,7,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
16,2020-04-16,6,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
16,2020-04-15,5,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
16,2020-04-14,4,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
16,2020-04-13,3,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
16,2020-04-12,2,PA,Acará,1500206,city,1,1.79885,0,0,0,0.0,55591,False,False
15,2020-04-11,1,PA,Acará,1500206,city,1,1.79885,1,0,0,0.0,55591,False,False
